Title,Original Price,Sale Price,Category,Product ID,Link,Description,Stock Status
Xmas Crackers CFT Premium Honeycomb 4 Pk,10.000000,10.000000,Novelty;;Gifts over $100;;Gifts Under $100;;Gifts Under $60;;Sale;;Sale backup;;Gifts Under $30;;Christmas;;New In;;Online Only New In,1124478,https://www.briscoes.co.nz/product/1124478/xmas-crackers-cft-premium-honeycomb-4-pk/,,
"Miki Nail Set - (Butterfly, N)",9.000000,9.000000,Self Care & Grooming;;Gifts over $100;;Gifts For Weddings;;Gifts Under $100;;Gifts Under $60;;Sale;;Sale backup;;Gifts For Engagements;;Gifts For Her;;New In;;Online Only New In;;Gifts For Kids;;Gifts for Infants;;Kids Bedding,1125128003,https://www.briscoes.co.nz/product/1125128/miki-nail-set/,,In Stock
"Miki Nail Set - (Unicorn, N)",9.000000,9.000000,Self Care & Grooming;;Gifts over $100;;Gifts For Weddings;;Gifts Under $100;;Gifts Under $60;;Sale;;Sale backup;;Gifts For Engagements;;Gifts For Her;;New In;;Online Only New In;;Gifts For Kids;;Gifts for Infants;;Kids Bedding,1125128002,https://www.briscoes.co.nz/product/1125128/miki-nail-set/,,In Stock
"Miki Nail Set - (Mermaid, N)",9.000000,9.000000,Self Care & Grooming;;Gifts over $100;;Gifts For Weddings;;Gifts Under $100;;Gifts Under $60;;Sale;;Sale backup;;Gifts For Engagements;;Gifts For Her;;New In;;Online Only New In;;Gifts For Kids;;Gifts for Infants;;Kids Bedding,1125128001,https://www.briscoes.co.nz/product/1125128/miki-nail-set/,,In Stock
"San Miguel Hanging Santa - (Mustard, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Novelty;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Enchanted Woodlands;;Ginger Bread Wonderland,1124267002,https://www.briscoes.co.nz/product/1124267/hanging-santa-san-miguel/,,In Stock
"San Miguel Hanging Santa - (Pink, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Novelty;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Enchanted Woodlands;;Ginger Bread Wonderland,1124267001,https://www.briscoes.co.nz/product/1124267/hanging-santa-san-miguel/,,In Stock
"San Miguel Hanging Santa - (Baby Blue, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Novelty;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Enchanted Woodlands;;Ginger Bread Wonderland,1124267003,https://www.briscoes.co.nz/product/1124267/hanging-santa-san-miguel/,,In Stock
"San Miguel Hanging Double Ball - (Rose, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Gifts For Eco Lovers;;Enchanted Woodlands;;Ginger Bread Wonderland,1124268004,https://www.briscoes.co.nz/product/1124268/hanging-double-ball-san-miguel/,,In Stock
"San Miguel Hanging Double Ball - (Orange, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Gifts For Eco Lovers;;Enchanted Woodlands;;Ginger Bread Wonderland,1124268006,https://www.briscoes.co.nz/product/1124268/hanging-double-ball-san-miguel/,,In Stock
"San Miguel Hanging Double Ball - (Green\/Natural, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Gifts For Eco Lovers;;Enchanted Woodlands;;Ginger Bread Wonderland,1124268005,https://www.briscoes.co.nz/product/1124268/hanging-double-ball-san-miguel/,,In Stock
